job_title,job_links,cities,company,company_rating
Material Flow Optimization Operations Engineer,https://www.indeed.com/rc/clk?jk=b5fa2186613b9cc3&fccid=fe2d21eef233e94a&vjs=3,"New York, NY",Amazon.com Services LLC,5.0
Software Engineer (All Levels),https://www.indeed.com/rc/clk?jk=2134c7942751417c&fccid=1b3df0faac85255e&vjs=3,"New York, NY",Ribbon Health,5.0
SRE,https://www.indeed.com/rc/clk?jk=cb469413659430f5&fccid=f770da67b3b51c62&vjs=3,"New York, NY",Bloomberg,5.0
Regulatory Data Associate - Securities & Holdings Team,https://www.indeed.com/rc/clk?jk=c38126ab6113b9f9&fccid=2c6850e24c8a2811&vjs=3,"New York, NY",Federal Reserve Bank of New York,5.0
Global Equities - Positioning Intelligence - Analyst,https://www.indeed.com/rc/clk?jk=994c273077da982c&fccid=aaf3b433897ea465&vjs=3,"New York, NY","JPMorgan Chase Bank, N.A.",5.0
"Associate, Credit Algo Sales Trading",https://www.indeed.com/rc/clk?jk=9ddc90d3e1942f95&fccid=f42d8879da906430&vjs=3,"New York, NY",Seaport Global Holdings LLC,5.0
"Data Scientist, Content Planning & Analysis",https://www.indeed.com/rc/clk?jk=babcac79e953d809&fccid=c68f858ef73a0c44&vjs=3,"New York, NY",Getty Images,5.0
Security Engineer,https://www.indeed.com/rc/clk?jk=f74664c08260df0d&fccid=c9a6f699859eaf37&vjs=3,"New York, NY 10017 (Midtown area)",Kompendium,5.0
Director of Data & Analytics,https://www.indeed.com/rc/clk?jk=dbc52e315efa4fcd&fccid=ed7f069b1531d709&vjs=3,New York State,Banza,5.0
Senior Spatial Data and Mapping Analyst,https://www.indeed.com/rc/clk?jk=8c608a52e55e50d8&fccid=c6b5143eab3dbe34&vjs=3,"Long Island City, NY 11101",Fund For Public Health In New York Inc,5.0
Quantitative Trading Intern (Summer 2021),https://www.indeed.com/rc/clk?jk=8f2e1f71216c3fd4&fccid=aad0a6d052467169&vjs=3,"New York, NY",Tower Research Capital,5.0
Senior Economist,https://www.indeed.com/rc/clk?jk=bfa910ae6e46409f&fccid=9affcdd0562bf28d&vjs=3,"New York, NY 10001 (Chelsea area)",Monument Economics Group,5.0
C++ Developer (INTERN),https://www.indeed.com/rc/clk?jk=dc047d997412893d&fccid=4f36cf717ed1367b&vjs=3,"New York, NY 10017 (Midtown area)",Alpha Beta Investments,5.0
Junior Data Scientist,https://www.indeed.com/rc/clk?jk=549b343d185ed525&fccid=30cb52ad6dd37131&vjs=3,"New York, NY 10014 (SoHo area)",ViacomCBS,5.0
2021 Software Engineer Program - Full Time Opportunity,https://www.indeed.com/rc/clk?jk=c731414512f9a035&fccid=aaf3b433897ea465&vjs=3,"New York, NY","JPMorgan Chase Bank, N.A.",5.0
Global Equity Index Analyst,https://www.indeed.com/rc/clk?jk=36b4f50e13620c56&fccid=1c76c3a36f6c7557&vjs=3,"New York, NY",UBS,5.0
Global Equity Index Analyst,https://www.indeed.com/rc/clk?jk=36b4f50e13620c56&fccid=1c76c3a36f6c7557&vjs=3,"New York, NY",UBS,5.0
Data Engineer,https://www.indeed.com/rc/clk?jk=9dbf4634a49669c4&fccid=01fd1f2f239c15f4&vjs=3,New York State,Unite Us,5.0
NLP Data Scientist Internship (REMOTE),https://www.indeed.com/rc/clk?jk=725fc70c4bf910ea&fccid=4f11fda3f02f70cd&vjs=3,New York State,Vee,5.0
Software Engineer,https://www.indeed.com/rc/clk?jk=e5f47c4568cd698b&fccid=25b5166547bbf543&vjs=3,"New York, NY",AT&T,5.0
"Quantitative Developer, Python",https://www.indeed.com/rc/clk?jk=b905499367112b35&fccid=376cafc34c3b98c4&vjs=3,"New York, NY",GuardX Inc,5.0
"Vice President, Business Intelligence",https://www.indeed.com/rc/clk?jk=fe43f64b2771aa03&fccid=35d653c09c2712b6&vjs=3,"New York, NY",NBCUniversal,5.0
Full Stack Programmer,https://www.indeed.com/rc/clk?jk=52a7214177f1ce80&fccid=430cffbf1c607717&vjs=3,"New York, NY",MassMutual,5.0
"Computer Engineering, Entry Level",https://www.indeed.com/rc/clk?jk=7e3f9ec712dd6414&fccid=fd6a32f24dd4ee0d&vjs=3,"Webster, NY 14580",Xerox,5.0
Product Analyst,https://www.indeed.com/rc/clk?jk=827fc67d00cab603&fccid=55ca72cb2faa6d78&vjs=3,"New York, NY 10013 (Little Italy area)",Rockerbox,5.0
Junior Front End / Full Stack Software Engineer,https://www.indeed.com/rc/clk?jk=168a00aa137f6f7f&fccid=6a5673a520e27ea2&vjs=3,"New York, NY",Plectica,5.0
"Valuation and Risk Analytics Associate, triCalculate",https://www.indeed.com/rc/clk?jk=400af7af68613b8c&fccid=5a3ef63f55aa5ca2&vjs=3,"New York, NY",CME Group,5.0
Lithography Process Engineer-2021 NCG,https://www.indeed.com/rc/clk?jk=f47018bc2ce9ceef&fccid=6a2e5a5f89491e88&vjs=3,"Malta, NY",GLOBALFOUNDRIES,5.0
Production Support - Vice President,https://www.indeed.com/rc/clk?jk=b9010481ebb9a5a0&fccid=f1d8e147024abb3f&vjs=3,"New York, NY",Deutsche Bank,5.0
GIS Analyst,https://www.indeed.com/rc/clk?jk=813baa2050e2a1f6&fccid=7690d1268f298c33&vjs=3,"New York, NY 11201 (Fort Greene area)",New York City HOUSING PRESERVATION & DVLPMNT,5.0
"Quantitative Analyst, Investing Intelligence",https://www.indeed.com/rc/clk?jk=0a97d86aaa44fe64&fccid=62d0bf8f2d130eaa&vjs=3,"New York, NY",The Motley Fool,5.0
Channel Strategy Decision Scientist,https://www.indeed.com/rc/clk?jk=66a1fa63f78a5bd5&fccid=978d9fd9799d55a8&vjs=3,"New York, NY 10018 (Clinton area)",PayPal,5.0
Junior Information Systems Business Analyst,https://www.indeed.com/rc/clk?jk=87522f7808497df6&fccid=5eb16c6eab3dc5ef&vjs=3,"Long Island City, NY 11101",Metro Group,5.0
eCom Data Scientist,https://www.indeed.com/rc/clk?jk=b3b2fdb1b1e04990&fccid=2973259ddc967948&vjs=3,"New York, NY",PepsiCo,5.0
Data Scientist Intern,https://www.indeed.com/rc/clk?jk=b6e4fc84c7d476ea&fccid=1b50fcfb150b1b48&vjs=3,"New York, NY",The New York Times,5.0
Computer Vision Engineer - Image Processing & Deep Learning,https://www.indeed.com/rc/clk?jk=ef32b4d734133aa1&fccid=1e2dfb8363673eeb&vjs=3,"New York, NY",Aedit,5.0
Data Analyst,https://www.indeed.com/rc/clk?jk=547473725df7a4bb&fccid=7c83e5868cc9f23e&vjs=3,"New York, NY 10022 (Midtown area)",Discovery,5.0
Industrial Engineer,https://www.indeed.com/rc/clk?jk=b279f6c956b16d59&fccid=b9c291631ddbadd8&vjs=3,"Ronkonkoma, NY 11779",Perfume Center of America,5.0
Murex Integration with Python and Apache Camel,https://www.indeed.com/rc/clk?jk=b8103d2ddc46e4d0&fccid=4b841d912d46e4fd&vjs=3,"New York, NY 10006 (Financial District area)",Luxoft,5.0
Quantitative Researcher (Associate),https://www.indeed.com/rc/clk?jk=cb12194850dd5cde&fccid=4f36cf717ed1367b&vjs=3,"New York, NY 10017 (Midtown area)",Alpha Beta Investments,5.0
Senior Data Modeler,https://www.indeed.com/rc/clk?jk=03ac6c0fdb3171a0&fccid=589843b57617aca9&vjs=3,"White Plains, NY",MMM Holdings,5.0
Policy Analyst - Data,https://www.indeed.com/rc/clk?jk=d145ef6405aa667c&fccid=5e85d46ffb1578d0&vjs=3,"Manhattan, NY",New York City TAXI & LIMOUSINE COMMISSION,5.0
"Assistant Research Technician, Institute for Systems Genetic...",https://www.indeed.com/rc/clk?jk=19297a97a8768fb6&fccid=848e72c84ce4a7a7&vjs=3,"New York, NY",NYU Langone,5.0
TradeOps Developer - NYC (Python),https://www.indeed.com/rc/clk?jk=b3ce044ac4b73644&fccid=01b91641951e8886&vjs=3,"New York, NY 10005 (Financial District area)",Hudson River Trading,5.0
Quantitative Trader,https://www.indeed.com/rc/clk?jk=f54212709bf17a5c&fccid=db0af0ad6162783b&vjs=3,"New York, NY 10014 (West Village area)",Hap Capital,5.0
Vice President,https://www.indeed.com/rc/clk?jk=829408e50e294e47&fccid=0c39fb2c91742dcf&vjs=3,"New York, NY",Morgan Stanley,5.0
Early Careers | Engineering - Full-Stack/Back-End - Software...,https://www.indeed.com/rc/clk?jk=00fa5f48006d155e&fccid=16a97ed26c75bf2d&vjs=3,"New York, NY",Goldman Sachs,5.0
